customer_id,customer_name,city,city_tier,age_group,gender,acquisition_channel,membership_tier,registration_date,preferred_slot,phone_number
CUST00102,Lavanya Kapoor,Delhi,Tier 1,26-35,,Offline,Silver,2021-06-24,Morning 6-10 AM,9893276164
CUST00103,Ishaan Bajaj,Bengaluru,Tier 1,18-25,Female,Paid Ads,Gold,2023-04-22,Evening 4-8 PM,9905611583
CUST00104,Tanmay Mehta,Delhi,Tier 1,60+,Female,Paid Ads,Silver,2022-03-12,Afternoon 10-2 PM,9216198604
CUST00105,Yash Sen,Bengaluru,Tier 1,18-25,Male,Organic,None,2021-02-23,Afternoon 10-2 PM,9844609017
CUST00106,Lakshmi Bose,Bengaluru,Tier 1,36-45,Male,Paid Ads,None,2021-10-21,Morning 6-10 AM,9252336745
CUST00107,Anika Singh,Pune,Tier 2,36-45,Male,Paid Ads,Platinum,2023-01-28,Morning 6-10 AM,9709448939
CUST00108,Aryan Rao,Delhi,Tier 1,26-35,Female,Referral,Platinum,2023-05-19,Morning 6-10 AM,9393310667
CUST00109,Varun Nair,Mumbai,Tier 1,26-35,Male,Referral,None,2023-12-16,Afternoon 10-2 PM,
CUST00110,Bhuvan Mehta,Bengaluru,Tier 1,18-25,Male,Organic,Gold,2022-06-08,Morning 6-10 AM,9634063428
CUST00111,Kunal Iyer,Pune,Tier 2,26-35,Female,Paid Ads,Silver,2022-12-27,Evening 4-8 PM,9145421708
CUST00112,Sonali Gupta,Delhi,Tier 1,46-60,Female,Paid Ads,Gold,2023-05-06,Evening 4-8 PM,9448717183
CUST00113,Faisal Dubey,Mumbai,Tier 1,46-60,Female,Organic,Platinum,2022-05-14,Evening 4-8 PM,9184446671
CUST00114,Rajesh Tripathi,Bengaluru,Tier 1,26-35,Male,Organic,Platinum,2021-08-22,Afternoon 10-2 PM,9933468715
CUST00115,Uma Hegde,Bengaluru,Tier 1,36-45,Male,Organic,None,2021-12-22,Morning 6-10 AM,9803847447
CUST00116,Girish Rathore,Mumbai,Tier 1,26-35,Female,Paid Ads,None,2022-10-24,Evening 4-8 PM,9262089272
CUST00117,Swati Shukla,Delhi,Tier 1,36-45,Female,Referral,Gold,2021-06-01,Afternoon 10-2 PM,9161085229
CUST00118,Priya Gupta,Bengaluru,Tier 1,36-45,Other,Organic,Platinum,2023-02-27,Afternoon 10-2 PM,9950207886
CUST00119,Arjun Shukla,Pune,Tier 2,46-60,Female,Organic,Silver,2023-10-24,Evening 4-8 PM,
CUST00120,Rohit Saxena,Mumbai,Tier 1,18-25,Female,Organic,None,2023-06-19,Evening 4-8 PM,9490732457
CUST00121,Priya Roy,Bengaluru,Tier 1,26-35,Male,Referral,Silver,2022-11-17,Evening 4-8 PM,9828404274
CUST00122,Pallavi Srivastava,Bengaluru,Tier 1,46-60,Female,Referral,None,2021-06-16,Morning 6-10 AM,9475617211
CUST00123,Jhanvi Anand,Bengaluru,Tier 1,36-45,Male,Referral,None,2023-02-11,Morning 6-10 AM,9237217505
CUST00124,Vandana Oberoi,Hyderabad,Tier 1,46-60,Male,Referral,Gold,2021-02-07,Afternoon 10-2 PM,9329987621
CUST00125,Tarun Pillai,Bengaluru,Tier 1,26-35,Male,Organic,Platinum,2021-07-27,Evening 4-8 PM,9893112954
CUST00126,Ananya Suri,Ahmedabad,Tier 2,26-35,Female,Organic,Gold,2021-11-29,Afternoon 10-2 PM,9770809983
CUST00127,Kritika Srivastava,Pune,Tier 2,26-35,Male,Referral,None,2023-06-29,Morning 6-10 AM,9941599226
CUST00128,Vinay Malhotra,Delhi,Tier 1,26-35,Female,Paid Ads,None,2023-01-24,Evening 4-8 PM,9573087862
CUST00129,Priya Choudhary,Delhi,Tier 1,26-35,Female,Offline,None,2021-10-11,Evening 4-8 PM,
CUST00130,Sanika Bajaj,Delhi,Tier 1,46-60,Female,Paid Ads,None,2021-06-21,Morning 6-10 AM,9651208305
CUST00131,Simran Singh,Mumbai,Tier 1,46-60,Male,Paid Ads,Platinum,2021-02-24,Morning 6-10 AM,9501538092
CUST00132,Deepa Sen,Bengaluru,Tier 1,26-35,Male,Organic,None,2022-11-18,Evening 4-8 PM,9408034406
CUST00133,Swati Anand,Jaipur,Tier 2,46-60,Female,Paid Ads,Silver,2021-06-12,Evening 4-8 PM,9260545470
CUST00134,Uma Arora,Delhi,Tier 1,26-35,Male,Organic,Gold,2021-04-08,Morning 6-10 AM,9768737754
CUST00135,Gaurav Shetty,Delhi,Tier 1,46-60,Female,Organic,None,2022-05-11,Afternoon 10-2 PM,9101679695
CUST00136,Nikhil Khurana,Hyderabad,Tier 1,26-35,Female,Organic,None,2021-05-19,Late Night 8-11 PM,9944403809
CUST00137,Vivek Verma,Lucknow,Tier 2,26-35,Male,Referral,None,2022-06-04,Late Night 8-11 PM,9172541521
CUST00138,Uma Suri,Bengaluru,Tier 1,36-45,Female,Referral,Gold,2021-04-01,Morning 6-10 AM,9790196540
CUST00139,Nandini Dubey,Mumbai,Tier 1,60+,Male,Organic,Silver,2023-07-27,Morning 6-10 AM,9949447049
CUST00140,Arjun Chatterjee,Mumbai,Tier 1,46-60,Male,Offline,Silver,2022-06-03,Afternoon 10-2 PM,9407209235
CUST00141,Aryan Gowda,Bengaluru,Tier 1,36-45,Male,Referral,None,2023-03-31,Afternoon 10-2 PM,9515156661
CUST00142,Lakshmi Rathore,Bengaluru,Tier 1,36-45,Male,Referral,None,2021-06-19,Morning 6-10 AM,
CUST00143,Lakshmi Agarwal,Hyderabad,Tier 1,26-35,Male,Paid Ads,None,2023-07-03,Morning 6-10 AM,9840629322
CUST00144,Soham Patel,Delhi,Tier 1,36-45,Female,Referral,Silver,2021-04-28,Afternoon 10-2 PM,9490102359
CUST00145,Mihir Reddy,Delhi,Tier 1,60+,Male,Referral,Silver,2021-03-13,Evening 4-8 PM,9792738367
CUST00146,Sapna Khurana,Bengaluru,Tier 1,18-25,Male,Paid Ads,None,2023-06-29,Afternoon 10-2 PM,9668503222
CUST00147,Ramesh Sethi,Bengaluru,Tier 1,26-35,Female,Organic,Gold,2023-11-27,Morning 6-10 AM,9381080560
CUST00148,Rashmi Shukla,Pune,Tier 2,26-35,Female,Referral,Silver,2022-02-14,Late Night 8-11 PM,9585377142
CUST00149,Sachin Shukla,Mumbai,Tier 1,60+,Female,Offline,None,2022-12-13,Late Night 8-11 PM,9411774120
CUST00150,Kiran Saxena,Ahmedabad,Tier 2,36-45,Female,Organic,Silver,2022-04-05,Afternoon 10-2 PM,9249117905
CUST00151,Uday Verma,Bengaluru,Tier 1,26-35,Female,Paid Ads,None,2021-09-23,Late Night 8-11 PM,9432098383
CUST00152,Sachin Srivastava,Bengaluru,Tier 1,26-35,Male,Paid Ads,None,2021-09-14,Afternoon 10-2 PM,9583156434
CUST00153,Vidya Banerjee,Delhi,Tier 1,18-25,Female,Paid Ads,Platinum,2021-09-22,Afternoon 10-2 PM,9159499094
CUST00154,Vidya Rao,Ahmedabad,Tier 2,26-35,Male,Offline,None,2023-11-29,Morning 6-10 AM,9369085407
CUST00155,Vivek Bose,Mumbai,Tier 1,18-25,Male,Paid Ads,None,2021-12-12,Afternoon 10-2 PM,9283825267
CUST00156,Tanmay Subramaniam,Hyderabad,Tier 1,36-45,Female,Paid Ads,Silver,2021-02-28,Evening 4-8 PM,9927878967
CUST00157,Jhanvi Menon,Delhi,Tier 1,36-45,Male,Referral,None,2022-08-17,Afternoon 10-2 PM,9362935648
CUST00158,Nandini Mishra,Pune,Tier 2,26-35,Male,Organic,None,2023-09-19,Afternoon 10-2 PM,9254263081
CUST00159,Sachin Chatterjee,Bengaluru,Tier 1,36-45,Female,Offline,Platinum,2023-01-29,Morning 6-10 AM,9359564054
CUST00160,Pooja Shukla,Delhi,Tier 1,26-35,Male,Organic,Gold,2023-05-07,Afternoon 10-2 PM,9271476207
CUST00161,Zoya Srivastava,Pune,Tier 2,26-35,Female,Paid Ads,None,2023-10-19,Afternoon 10-2 PM,9196689473
CUST00162,Urvi Dubey,Jaipur,Tier 2,60+,Male,Paid Ads,None,2023-10-11,Morning 6-10 AM,9822113500
CUST00163,Vinay Sharma,Delhi,Tier 1,46-60,Male,Influencer,Gold,2023-04-06,Evening 4-8 PM,9712335251
CUST00164,Sandeep Bajaj,Delhi,Tier 1,26-35,Male,Paid Ads,Silver,2021-09-01,Afternoon 10-2 PM,9500718660
CUST00165,Rohit Bajaj,Pune,Tier 2,46-60,Female,Organic,Silver,2023-10-22,Afternoon 10-2 PM,
CUST00166,Swati Jain,Hyderabad,Tier 1,26-35,Female,Paid Ads,Silver,2022-10-15,Morning 6-10 AM,9893838119
CUST00167,Amrita Mukherjee,Ahmedabad,Tier 2,26-35,Male,Paid Ads,None,2023-08-31,Afternoon 10-2 PM,9823494111
CUST00168,Shubham Kohli,Mumbai,Tier 1,26-35,Female,Influencer,Gold,2023-08-30,Evening 4-8 PM,9933397627
CUST00169,Neha Srivastava,Delhi,Tier 1,18-25,Male,Paid Ads,Silver,2023-02-18,Evening 4-8 PM,9133898577
CUST00170,Payal Nair,Delhi,Tier 1,26-35,Male,Paid Ads,Gold,2022-02-22,Afternoon 10-2 PM,9606382505
CUST00171,Vandana Srivastava,Ahmedabad,Tier 2,18-25,Male,Organic,None,2023-09-07,Morning 6-10 AM,9285953213
CUST00172,Vinay Mukherjee,Delhi,Tier 1,36-45,Female,Influencer,None,2022-06-26,Evening 4-8 PM,9364697908
CUST00173,Rajan Shah,Bengaluru,Tier 1,46-60,Other,Referral,Gold,2023-09-29,Evening 4-8 PM,9954059995
CUST00174,Priya Nair,Pune,Tier 2,36-45,Female,Influencer,None,2022-12-08,Afternoon 10-2 PM,9411871167
CUST00175,Sachin Singh,Mumbai,Tier 1,26-35,Male,Organic,None,2022-02-18,Afternoon 10-2 PM,9703462253
CUST00176,Ishita Joshi,Hyderabad,Tier 1,36-45,Female,Organic,Gold,2023-12-24,Evening 4-8 PM,9207586738
CUST00177,Sachin Chauhan,Bengaluru,Tier 1,18-25,,Organic,Platinum,2021-11-20,Afternoon 10-2 PM,9610778600
CUST00178,Meera Yadav,Delhi,Tier 1,60+,Male,Referral,None,2021-07-03,Late Night 8-11 PM,9893158610
CUST00179,Ananya Kumar,Pune,Tier 2,26-35,Female,Offline,None,2023-03-25,Morning 6-10 AM,9904236062
CUST00180,Rahul Krishnan,Lucknow,Tier 2,18-25,Male,Referral,Gold,2022-11-18,Late Night 8-11 PM,9683364453
CUST00181,Ishita Kamath,Delhi,Tier 1,26-35,Male,Influencer,None,2023-07-29,Morning 6-10 AM,9115122787
CUST00182,Rahul Khurana,Pune,Tier 2,36-45,Male,Referral,None,2023-04-11,Evening 4-8 PM,9193133974
CUST00183,Diya Kumar,Bengaluru,Tier 1,60+,Male,Offline,Gold,2023-02-25,Morning 6-10 AM,9453932473
CUST00184,Tanmay Khurana,Bengaluru,Tier 1,18-25,Female,Referral,None,2021-08-31,Morning 6-10 AM,9836665942
CUST00185,Rashmi Choudhary,Delhi,Tier 1,26-35,Male,Influencer,Silver,2022-03-29,Morning 6-10 AM,9264481748
CUST00186,Dhruv Sen,Delhi,Tier 1,26-35,Female,Paid Ads,None,2022-03-24,Afternoon 10-2 PM,9739750911
CUST00187,Deepa Jain,Ahmedabad,Tier 2,26-35,Female,Organic,None,2021-05-07,Afternoon 10-2 PM,9317064188
CUST00188,Kavya Reddy,Delhi,Tier 1,26-35,Female,Organic,Silver,2023-09-29,Morning 6-10 AM,9968326513
CUST00189,Ishaan Desai,Mumbai,Tier 1,26-35,Female,Paid Ads,None,2022-09-24,Evening 4-8 PM,9976659977
CUST00190,Namrata Kohli,Mumbai,Tier 1,18-25,Male,Referral,None,2021-05-04,Afternoon 10-2 PM,
CUST00191,Ananya Das,Jaipur,Tier 2,26-35,Female,Referral,None,2023-05-11,Late Night 8-11 PM,9581613078
CUST00192,Sanjay Roy,Ahmedabad,Tier 2,18-25,Female,Influencer,Silver,2022-12-14,Morning 6-10 AM,9522043490
CUST00193,Uma Shah,Delhi,Tier 1,46-60,Female,Offline,None,2023-05-19,Afternoon 10-2 PM,9365764028
CUST00194,Kavya Bose,Delhi,Tier 1,26-35,Female,Referral,None,2023-05-09,Morning 6-10 AM,9116799547
CUST00195,Bhavya Joshi,Bengaluru,Tier 1,36-45,Male,Referral,None,2022-05-17,Evening 4-8 PM,9351619881
CUST00196,Ayesha Iyer,Delhi,Tier 1,26-35,Male,Influencer,None,2022-10-16,Evening 4-8 PM,9978731508
CUST00197,Rajan Krishnan,Bengaluru,Tier 1,18-25,Female,Organic,None,2021-05-05,Morning 6-10 AM,9889427990
CUST00198,Girish Oberoi,Jaipur,Tier 2,26-35,Male,Offline,None,2023-02-20,Late Night 8-11 PM,9547025173
CUST00199,Rajan Roy,Bengaluru,Tier 1,26-35,,Organic,None,2021-10-23,Morning 6-10 AM,9703857319
CUST00200,Shubham Bajaj,Bengaluru,Tier 1,26-35,Male,Organic,None,2021-06-11,Morning 6-10 AM,9199282456
CUST00201,Manish Mehta,Delhi,Tier 1,26-35,Female,Referral,None,2022-01-21,Evening 4-8 PM,9820964511
CUST00202,Tanvi Menon,Delhi,Tier 1,46-60,Male,Offline,None,2022-01-25,Morning 6-10 AM,9909956465
CUST00203,Nisha Anand,Delhi,Tier 1,36-45,Male,Influencer,Gold,2022-08-03,Afternoon 10-2 PM,9485752015
CUST00204,Sandeep Desai,Bengaluru,Tier 1,46-60,Male,Influencer,None,2022-10-18,Evening 4-8 PM,9544454140
CUST00205,Neel Tripathi,Mumbai,Tier 1,18-25,Male,Offline,Gold,2023-05-06,Afternoon 10-2 PM,9346980616
CUST00206,Nisha Rathore,Bengaluru,Tier 1,36-45,Female,Paid Ads,None,2023-09-28,Evening 4-8 PM,9626772995
CUST00207,Uma Nayak,Delhi,Tier 1,26-35,Male,Paid Ads,Platinum,2021-05-01,Morning 6-10 AM,9179811669
CUST00208,Lavanya Mehta,Jaipur,Tier 2,36-45,Male,Influencer,Silver,2021-11-06,Morning 6-10 AM,9500721199
CUST00209,Hansika Suri,Mumbai,Tier 1,46-60,Female,Referral,None,2023-12-26,Morning 6-10 AM,
CUST00210,Prachi Agarwal,Delhi,Tier 1,60+,Male,Influencer,Silver,2022-01-03,Evening 4-8 PM,9259877461
CUST00211,Faisal Jain,Bengaluru,Tier 1,26-35,Male,Referral,Platinum,2023-04-12,Morning 6-10 AM,9848651792
CUST00212,Nandini Hegde,Bengaluru,Tier 1,46-60,Female,Influencer,Platinum,2021-07-11,Evening 4-8 PM,9611106584
